instrument_name,mode_category,beat_category,gukak_style,music_src_nm,split_data
단소,평조계열,혼합 및 기타,창작국악,BP_CR1_02927,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02952,train
가야금,계면조계열,균등,창작국악,BP_CR1_02026,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02758,train
대금,평조계열,균등,창작국악,BP_CR2_00370,train
아쟁,평조계열,균등,창작국악,BP_CR1_02015,train
가야금,평조계열,균등,창작국악,BP_CR2_01650,train
가야금,계면조계열,불균등,창작국악,BP_CR1_01147,train
대금,평조계열,균등,창작국악,BP_CR1_02195,train
가야금,계면조계열,불균등,창작국악,BP_CR1_02123,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02749,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02138,train
거문고,계면조계열,균등,창작국악,BM_CR2_02349,train
가야금,계면조계열,균등,창작국악,BP_CR2_00147,train
대금,계면조계열,균등,창작국악,BP_CR1_02194,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01167,train
대금,계면조계열,균등,창작국악,BP_CR1_02171,train
해금,계면조계열,혼합 및 기타,창작국악,BM_CR2_03309,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00661,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_03317,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01744,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02113,train
가야금,계면조계열,균등,창작국악,BP_CR1_02023,train
가야금,계면조계열,균등,창작국악,BP_CR1_02200,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00685,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00622,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02582,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01721,train
단소,평조계열,혼합 및 기타,창작국악,BP_CR1_02936,train
거문고,계면조계열,균등,창작국악,BP_CR1_02744,train
가야금,계면조계열,균등,창작국악,BP_CR1_02175,train
가야금,계면조계열,균등,창작국악,BP_CR1_02560,train
가야금,계면조계열,균등,창작국악,BP_CR1_02018,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01641,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01176,train
대금,계면조계열,균등,창작국악,BP_CR2_00721,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02748,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00660,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01617,train
해금,계면조계열,균등,창작국악,BM_CR2_00613,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00528,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01433,train
아쟁,계면조계열,균등,창작국악,BP_CR1_03433,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00640,train
가야금,계면조계열,균등,창작국악,BP_CR2_01736,train
대금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01324,train
대금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01407,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01180,train
장구,,불균등,창작국악,BP_CR1_01157,train
해금,계면조계열,불균등,창작국악,BM_CR2_00501,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01763,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_00794,train
해금,평조계열,균등,창작국악,BP_CR2_00024,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02687,train
대금,평조계열,균등,창작국악,BP_CR2_01351,train
태평소,계면조계열,혼합 및 기타,창작국악,BP_CR1_02108,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00162,train
아쟁,계면조계열,균등,창작국악,BP_CR1_03434,train
대금,계면조계열,균등,창작국악,BP_CR2_01410,train
가야금,계면조계열,균등,창작국악,BP_CR2_01640,train
대금,평조계열,균등,창작국악,BP_CR2_01299,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01370,train
태평소,계면조계열,혼합 및 기타,창작국악,BP_CR1_02104,train
해금,계면조계열,균등,창작국악,BP_CR2_00679,train
해금,계면조계열,균등,창작국악,BP_CR2_00140,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01631,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01758,train
해금,계면조계열,균등,창작국악,BP_CR1_02178,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00647,train
거문고,계면조계열,균등,창작국악,BP_CR1_02735,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02736,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02911,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02762,train
피리,계면조계열,균등,창작국악,BP_CR2_00388,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01629,train
대금,평조계열,균등,창작국악,BP_CR2_00765,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02773,train
아쟁,평조계열,균등,창작국악,BP_CR1_02014,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_03315,train
해금,평조계열,균등,창작국악,BM_CR2_00525,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01665,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01160,train
대금,평조계열,균등,창작국악,BM_CR2_01931,train
피리,계면조계열,균등,창작국악,BP_CR2_00383,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_01778,train
단소,평조계열,혼합 및 기타,창작국악,BP_CR1_02939,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01712,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01166,train
해금,계면조계열,균등,창작국악,BM_CR2_00126,train
해금,평조계열,균등,창작국악,BP_CR2_00139,train
대금,평조계열,균등,창작국악,BP_CR2_00758,train
가야금,평조계열,균등,창작국악,BP_CR2_01671,train
가야금,계면조계열,균등,창작국악,BP_CR1_02559,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01426,train
양금,계면조계열,불균등,창작국악,BP_CR1_02151,train
양금,평조계열,혼합 및 기타,창작국악,BP_CR1_02704,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00156,train
가야금,계면조계열,불균등,창작국악,BP_CR2_00500,train
태평소,계면조계열,혼합 및 기타,창작국악,BM_CR1_02133,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02900,train
가야금,계면조계열,불균등,창작국악,BP_CR2_00497,train
태평소,평조계열,혼합 및 기타,창작국악,BP_CR1_02033,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00481,train
피리,계면조계열,균등,창작국악,BP_CR1_02125,train
태평소,계면조계열,균등,창작국악,BP_CR1_03479,train
가야금,계면조계열,불균등,창작국악,BP_CR2_00498,train
피리,계면조계열,균등,창작국악,BP_CR1_03442,train
해금,평조계열,균등,창작국악,BP_CR2_00517,train
단소,평조계열,혼합 및 기타,창작국악,BP_CR1_02923,train
피리,계면조계열,혼합 및 기타,창작국악,BM_CR2_03207,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01364,train
가야금,계면조계열,균등,창작국악,BP_CR1_02519,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02977,train
대금,계면조계열,균등,창작국악,BP_CR2_00719,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00682,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02663,train
피리,계면조계열,균등,창작국악,BM_CR2_03241,train
대금,계면조계열,균등,창작국악,BP_CR2_00720,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02114,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01624,train
가야금,계면조계열,균등,창작국악,BP_CR2_00003,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02032,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02683,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01749,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01647,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00527,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02918,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02737,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02761,train
피리,계면조계열,혼합 및 기타,창작국악,BP_CR1_02116,train
해금,계면조계열,균등,창작국악,BP_CR1_00048,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01605,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01718,train
장구,,혼합 및 기타,창작국악,BP_CR1_01142,train
피리,계면조계열,균등,창작국악,BP_CR2_00863,train
해금,계면조계열,균등,창작국악,BP_CR2_00163,train
대금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01411,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_01882,train
대금,평조계열,균등,창작국악,BP_CR2_00763,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02740,train
아쟁,계면조계열,균등,창작국악,BP_CR1_03431,train
장구,,혼합 및 기타,창작국악,BP_CR1_01143,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01634,train
가야금,계면조계열,균등,창작국악,BP_CR1_02522,train
대금,계면조계열,균등,창작국악,BP_CR2_01297,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02777,train
피리,평조계열,균등,창작국악,BP_CR2_00412,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01610,train
해금,평조계열,균등,창작국악,BP_CR2_00694,train
가야금,계면조계열,균등,창작국악,BP_CR2_00005,train
해금,계면조계열,균등,창작국악,BP_CR2_00677,train
가야금,평조계열,균등,창작국악,BP_CR2_01653,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00618,train
가야금,계면조계열,균등,창작국악,BP_CR2_00151,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00487,train
대금,평조계열,균등,창작국악,BP_CR2_01355,train
해금,계면조계열,균등,창작국악,BP_CR1_02214,train
해금,계면조계열,균등,창작국악,BP_CR2_00672,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01175,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_01768,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02009,train
아쟁,계면조계열,혼합 및 기타,창작국악,BM_CR1_02141,train
거문고,계면조계열,균등,창작국악,BP_CR1_02733,train
가야금,계면조계열,균등,창작국악,BP_CR1_02520,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_02412,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00688,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01733,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02903,train
가야금,계면조계열,균등,창작국악,BP_CR2_01728,train
가야금,평조계열,균등,창작국악,BP_CR2_00402,train
해금,계면조계열,균등,창작국악,BP_CR2_00406,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_03313,train
대금,계면조계열,균등,창작국악,BP_CR1_02942,train
양금,계면조계열,불균등,창작국악,BP_CR1_02150,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02972,train
태평소,계면조계열,균등,창작국악,BP_CR2_00389,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01667,train
해금,평조계열,균등,창작국악,BP_CR2_00405,train
해금,계면조계열,혼합 및 기타,창작국악,BM_CR1_03247,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01748,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01789,train
대금,평조계열,균등,창작국악,BP_CR2_00397,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_02421,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00442,train
가야금,계면조계열,균등,창작국악,BP_CR1_02174,train
해금,계면조계열,균등,창작국악,BP_CR2_00128,train
가야금,평조계열,혼합 및 기타,창작국악,BM_CR2_03308,train
가야금,계면조계열,균등,창작국악,BP_CR1_02563,train
가야금,계면조계열,불균등,창작국악,BP_CR2_00106,train
양금,평조계열,혼합 및 기타,창작국악,BP_CR1_02707,train
해금,계면조계열,균등,창작국악,BP_CR1_02904,train
태평소,계면조계열,균등,창작국악,BP_CR1_03480,train
가야금,계면조계열,균등,창작국악,BP_CR2_00012,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01179,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02970,train
해금,계면조계열,균등,창작국악,BP_CR1_02177,train
대금,계면조계열,균등,창작국악,BP_CR2_00725,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_01772,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02757,train
가야금,계면조계열,균등,창작국악,BP_CR1_02199,train
가야금,계면조계열,균등,창작국악,BP_CR1_02019,train
가야금,평조계열,균등,창작국악,BP_CR2_01670,train
해금,계면조계열,균등,창작국악,BP_CR1_00047,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00630,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01760,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02007,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_01635,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01723,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01428,train
피리,계면조계열,균등,창작국악,BP_CR2_00385,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01171,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02913,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00641,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01173,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00478,train
가야금,평조계열,혼합 및 기타,창작국악,BM_CR2_03304,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01161,train
피리,계면조계열,혼합 및 기타,창작국악,BP_CR2_00811,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02763,train
대금,평조계열,균등,창작국악,BP_CR2_00398,train
해금,계면조계열,균등,창작국악,BP_CR1_00043,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_01765,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_03301,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02967,train
가야금,평조계열,균등,창작국악,BP_CR2_01725,train
해금,계면조계열,균등,창작국악,BP_CR2_00164,train
단소,평조계열,혼합 및 기타,창작국악,BP_CR1_02931,train
가야금,평조계열,균등,창작국악,BP_CR1_02554,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02742,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00648,train
해금,계면조계열,혼합 및 기타,창작국악,BM_CR2_00668,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01722,train
해금,계면조계열,균등,창작국악,BP_CR1_02902,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01604,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00476,train
피리,계면조계열,균등,창작국악,BP_CR1_03440,train
해금,계면조계열,균등,창작국악,BP_CR1_00044,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02110,train
해금,평조계열,균등,창작국악,BP_CR2_00516,train
가야금,평조계열,균등,창작국악,BP_CR2_01672,train
가야금,계면조계열,균등,창작국악,BP_CR2_00009,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00692,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02766,train
가야금,계면조계열,균등,창작국악,BP_CR1_02561,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02976,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02986,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01710,train
해금,계면조계열,균등,창작국악,BP_CR2_00160,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_01769,train
태평소,평조계열,혼합 및 기타,창작국악,BP_CR1_02036,train
가야금,평조계열,균등,창작국악,BP_CR1_02028,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00696,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00697,train
해금,계면조계열,균등,창작국악,BP_CR2_00129,train
가야금,계면조계열,균등,창작국악,BP_CR2_00011,train
가야금,평조계열,균등,창작국악,BP_CR2_00376,train
거문고,계면조계열,균등,창작국악,BP_CR1_02750,train
거문고,계면조계열,불균등,창작국악,BM_CR1_03257,train
해금,계면조계열,균등,창작국악,BP_CR1_00035,train
가야금,계면조계열,균등,창작국악,BM_CR2_00001,train
단소,평조계열,균등,창작국악,BP_CR2_00353,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01609,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01677,train
해금,계면조계열,균등,창작국악,BP_CR1_00033,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02965,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00636,train
해금,계면조계열,균등,창작국악,BP_CR1_00041,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_00801,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02778,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01759,train
가야금,계면조계열,균등,창작국악,BP_CR2_00496,train
대금,평조계열,균등,창작국악,BP_CR2_01279,train
가야금,평조계열,균등,창작국악,BP_CR2_00021,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02012,train
가야금,계면조계열,균등,창작국악,BP_CR1_02173,train
장구,,균등,창작국악,BP_CR1_00118,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00657,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00803,train
피리,평조계열,균등,창작국악,BP_CR2_00387,train
대금,계면조계열,균등,창작국악,BP_CR2_00371,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_03310,train
해금,평조계열,혼합 및 기타,창작국악,BM_CR2_03307,train
가야금,평조계열,균등,창작국악,BP_CR2_01654,train
가야금,계면조계열,균등,창작국악,BP_CR2_00010,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01174,train
아쟁,평조계열,균등,창작국악,BP_CR1_02721,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_01771,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02682,train
해금,계면조계열,균등,창작국악,BP_CR1_00042,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02143,train
태평소,평조계열,혼합 및 기타,창작국악,BP_CR1_02034,train
대금,평조계열,균등,창작국악,BP_CR2_00762,train
대금,평조계열,균등,창작국악,BP_CR2_01350,train
가야금,평조계열,균등,창작국악,BM_CR2_02418,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_03430,train
해금,계면조계열,혼합 및 기타,창작국악,BM_CR2_00663,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00492,train
해금,계면조계열,균등,창작국악,BP_CR2_00013,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02729,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00637,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02889,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02688,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02717,train
가야금,계면조계열,균등,창작국악,BP_CR2_00004,train
해금,계면조계열,혼합 및 기타,창작국악,BM_CR2_03320,train
해금,계면조계열,균등,창작국악,BP_CR1_00049,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01159,train
해금,평조계열,균등,창작국악,BP_CR2_00339,train
태평소,계면조계열,불균등,창작국악,BP_CR1_03477,train
해금,평조계열,균등,창작국악,BP_CR2_00524,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01853,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00654,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00646,train
피리,계면조계열,균등,창작국악,BP_CR2_00866,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00626,train
대금,평조계열,균등,창작국악,BP_CR2_01427,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02011,train
대금,계면조계열,균등,창작국악,BP_CR1_02172,train
아쟁,평조계열,균등,창작국악,BP_CR1_02893,train
해금,평조계열,균등,창작국악,BP_CR2_00029,train
해금,평조계열,혼합 및 기타,창작국악,BM_CR2_00474,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02968,train
아쟁,계면조계열,균등,창작국악,BP_CR1_02775,train
해금,평조계열,균등,창작국악,BP_CR2_00407,train
해금,계면조계열,균등,창작국악,BP_CR1_00040,train
장구,,균등,창작국악,BP_CR2_00007,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01172,train
가야금,계면조계열,혼합 및 기타,창작국악,BM_CR2_01168,train
해금,평조계열,혼합 및 기타,창작국악,BM_CR2_03305,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00687,train
가야금,평조계열,균등,창작국악,BM_CR1_02016,train
피리,계면조계열,균등,창작국악,BP_CR2_00862,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00707,train
대금,계면조계열,균등,창작국악,BP_CR2_00724,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01425,train
가야금,계면조계열,균등,창작국악,BP_CR2_01724,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02916,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01437,train
대금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02210,train
대금,평조계열,균등,창작국악,BP_CR2_00759,train
가야금,평조계열,균등,창작국악,BP_CR2_01652,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01762,train
양금,계면조계열,혼합 및 기타,창작국악,BM_CR1_02139,train
피리,계면조계열,혼합 및 기타,창작국악,BP_CR2_00812,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_01774,train
피리,계면조계열,균등,창작국악,BP_CR2_00384,train
가야금,계면조계열,균등,창작국악,BM_CR2_02384,train
대금,계면조계열,균등,창작국악,BP_CR2_00396,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_01767,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00635,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02985,train
가야금,계면조계열,균등,창작국악,BP_CR1_02024,train
가야금,평조계열,혼합 및 기타,창작국악,BP_CR2_01626,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01656,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02978,train
태평소,계면조계열,균등,창작국악,BP_CR1_03483,train
해금,평조계열,균등,창작국악,BP_CR1_02231,train
거문고,계면조계열,혼합 및 기타,창작국악,BP_CR1_02966,train
태평소,계면조계열,혼합 및 기타,창작국악,BP_CR1_02107,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00700,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00684,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02894,train
해금,평조계열,균등,창작국악,BP_CR2_00522,train
대금,평조계열,혼합 및 기타,창작국악,BP_CR2_01369,train
단소,평조계열,혼합 및 기타,창작국악,BP_CR1_02932,train
해금,평조계열,균등,창작국악,BP_CR2_00025,train
아쟁,계면조계열,혼합 및 기타,창작국악,BP_CR1_02144,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00616,train
가야금,평조계열,균등,창작국악,BP_CR2_01676,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01164,train
아쟁,평조계열,혼합 및 기타,창작국악,BP_CR1_02953,train
대금,평조계열,균등,창작국악,BP_CR2_00766,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00166,train
해금,계면조계열,혼합 및 기타,창작국악,BM_CR2_00642,train
해금,평조계열,혼합 및 기타,창작국악,BP_CR2_00124,train
해금,계면조계열,불균등,창작국악,BP_CR2_00504,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_01779,train
가야금,계면조계열,혼합 및 기타,창작국악,BP_CR1_02552,train
해금,계면조계열,혼합 및 기타,창작국악,BP_CR2_00614,train
대금,계면조계열,균등,창작국악,BP_CR2_01295,train
피리,계면조계열,혼합 및 기타,창작국악,BP_CR1_02118,train
대금,평조계열,균등,창작국악,BP_CR2_00760,train
