index,audio_key,pitch_range,num_measures,bpm,genre,track_role,inst,sample_rhythm,time_signature,min_velocity,max_velocity,split_data,id
35,aminor,mid_low,8,70,newage,accompaniment,acoustic_piano,standard,4/4,21,24,train,commu00036
36,cmajor,mid,8,100,cinematic,main_melody,celesta,standard,4/4,61,62,train,commu00037
37,cmajor,mid_low,4,100,newage,accompaniment,string_ensemble,standard,4/4,99,100,train,commu00038
38,cmajor,mid,8,100,cinematic,riff,string_ensemble,standard,4/4,101,102,train,commu00039
39,aminor,mid,8,110,cinematic,sub_melody,flute,standard,4/4,89,98,train,commu00040
40,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00041
41,cmajor,mid_high,8,65,newage,main_melody,acoustic_piano,standard,4/4,33,40,train,commu00042
42,cmajor,mid,8,75,cinematic,main_melody,string_cello,standard,4/4,73,74,train,commu00043
43,aminor,mid_high,4,60,cinematic,main_melody,string_ensemble,standard,4/4,17,58,train,commu00044
44,cmajor,mid_low,8,100,cinematic,pad,choir,standard,4/4,75,76,train,commu00045
45,cmajor,mid_low,8,80,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00046
46,aminor,mid,8,150,cinematic,sub_melody,brass_ensemble,standard,4/4,69,114,train,commu00047
47,cmajor,mid_low,8,45,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00048
48,aminor,mid_high,4,60,cinematic,riff,acoustic_piano,standard,4/4,51,52,train,commu00049
49,aminor,low,8,110,cinematic,bass,string_ensemble,standard,4/4,95,96,train,commu00050
50,cmajor,mid_high,4,35,newage,main_melody,acoustic_piano,standard,4/4,23,30,train,commu00051
51,aminor,mid,8,150,cinematic,main_melody,string_ensemble,standard,4/4,71,95,train,commu00052
52,aminor,mid_low,8,110,cinematic,riff,acoustic_piano,standard,4/4,53,62,train,commu00053
53,cmajor,mid,8,80,newage,accompaniment,acoustic_piano,standard,4/4,23,24,train,commu00054
54,cmajor,mid_high,8,65,newage,main_melody,acoustic_piano,standard,4/4,33,40,train,commu00055
55,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,21,30,train,commu00056
56,cmajor,mid,4,65,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00057
57,cmajor,mid_low,8,80,newage,accompaniment,acoustic_piano,standard,4/4,21,30,train,commu00058
58,aminor,mid_high,8,120,cinematic,riff,string_ensemble,standard,4/4,121,127,train,commu00059
59,cmajor,mid,8,110,cinematic,main_melody,celesta,triplet,4/4,71,72,train,commu00060
60,cmajor,mid,4,120,cinematic,main_melody,acoustic_piano,standard,4/4,53,62,train,commu00061
61,aminor,mid_high,8,150,cinematic,riff,string_violin,standard,4/4,121,122,train,commu00062
62,aminor,mid,8,110,cinematic,main_melody,string_ensemble,standard,4/4,85,88,train,commu00063
63,aminor,mid,8,120,cinematic,accompaniment,string_ensemble,standard,4/4,111,114,train,commu00064
64,aminor,mid,8,110,cinematic,main_melody,string_ensemble,standard,4/4,91,92,train,commu00065
65,aminor,mid,8,120,cinematic,main_melody,string_ensemble,standard,4/4,91,92,train,commu00066
66,aminor,mid_low,8,120,cinematic,pad,string_ensemble,standard,4/4,101,102,train,commu00067
67,cmajor,mid,8,35,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00068
68,cmajor,mid,8,135,cinematic,accompaniment,string_cello,standard,4/4,105,108,train,commu00069
69,aminor,mid,8,110,cinematic,sub_melody,harp,standard,4/4,81,114,train,commu00070
70,cmajor,mid_high,8,120,cinematic,riff,acoustic_piano,standard,4/4,59,60,train,commu00071
71,cmajor,mid_low,4,100,newage,accompaniment,acoustic_piano,standard,4/4,51,52,train,commu00072
72,cmajor,mid_low,8,110,cinematic,accompaniment,acoustic_piano,standard,4/4,81,96,train,commu00073
73,cmajor,mid_low,8,135,cinematic,riff,string_viola,standard,4/4,105,106,train,commu00074
74,cmajor,high,8,80,newage,main_melody,acoustic_piano,standard,4/4,23,30,train,commu00075
75,aminor,mid,8,110,cinematic,pad,choir,standard,4/4,45,46,train,commu00076
76,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,22,30,train,commu00077
77,cmajor,mid,8,35,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00078
78,aminor,mid_low,4,60,cinematic,pad,string_ensemble,standard,4/4,27,28,train,commu00079
79,aminor,mid_low,8,110,cinematic,accompaniment,string_ensemble,standard,4/4,85,86,train,commu00080
80,aminor,mid_high,4,60,cinematic,main_melody,string_ensemble,standard,4/4,21,22,train,commu00081
81,cmajor,mid_high,4,105,cinematic,main_melody,clarinet,standard,4/4,99,100,train,commu00082
82,cmajor,mid_low,4,100,newage,accompaniment,acoustic_piano,standard,4/4,51,52,train,commu00083
83,aminor,low,8,120,cinematic,bass,string_ensemble,standard,4/4,75,76,train,commu00084
84,aminor,mid,8,150,cinematic,sub_melody,brass_ensemble,standard,4/4,85,88,train,commu00085
85,aminor,mid_low,8,150,cinematic,accompaniment,string_ensemble,standard,4/4,111,116,train,commu00086
86,cmajor,mid,8,80,newage,accompaniment,acoustic_piano,standard,4/4,23,24,train,commu00087
87,cmajor,mid_low,8,120,cinematic,riff,string_ensemble,standard,4/4,115,116,train,commu00088
88,aminor,mid,8,150,cinematic,main_melody,string_ensemble,standard,4/4,40,107,train,commu00089
89,aminor,mid,8,110,cinematic,sub_melody,choir,standard,4/4,91,92,train,commu00090
90,aminor,mid_low,8,150,cinematic,pad,string_ensemble,standard,4/4,127,127,train,commu00091
91,cmajor,mid,8,45,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00092
92,cmajor,mid,8,110,cinematic,sub_melody,choir,standard,4/4,91,97,train,commu00093
93,cmajor,mid_low,8,45,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00094
94,aminor,mid_low,8,150,cinematic,accompaniment,string_ensemble,standard,4/4,113,122,train,commu00095
95,cmajor,mid_high,8,120,cinematic,riff,string_violin,standard,4/4,121,122,train,commu00096
96,cmajor,mid_high,8,65,newage,main_melody,acoustic_piano,standard,4/4,33,40,train,commu00097
97,cmajor,mid_low,4,105,cinematic,accompaniment,acoustic_piano,standard,4/4,89,100,train,commu00098
98,aminor,mid_low,8,120,cinematic,pad,string_ensemble,standard,4/4,91,92,train,commu00099
99,cmajor,high,8,65,newage,main_melody,acoustic_piano,standard,4/4,33,40,train,commu00100
100,cmajor,mid,4,65,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00101
101,aminor,low,8,150,cinematic,bass,string_ensemble,standard,4/4,127,127,train,commu00102
102,aminor,mid_high,8,120,cinematic,main_melody,string_ensemble,standard,4/4,97,102,train,commu00103
103,aminor,mid_high,8,120,cinematic,riff,string_ensemble,standard,4/4,121,127,train,commu00104
104,aminor,mid_low,8,130,newage,accompaniment,acoustic_piano,standard,4/4,46,52,train,commu00105
105,cmajor,mid,8,135,cinematic,accompaniment,acoustic_piano,standard,4/4,65,68,train,commu00106
106,aminor,mid_low,8,110,cinematic,accompaniment,string_ensemble,standard,4/4,85,88,train,commu00107
107,aminor,mid_low,4,60,cinematic,pad,string_ensemble,standard,4/4,81,82,train,commu00108
108,cmajor,mid,8,35,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00109
109,aminor,mid_low,8,110,cinematic,riff,acoustic_piano,triplet,4/4,51,52,train,commu00110
110,aminor,mid,8,110,cinematic,main_melody,celesta,triplet,4/4,71,72,train,commu00111
111,aminor,mid_low,8,150,cinematic,pad,string_ensemble,standard,4/4,127,127,train,commu00112
112,cmajor,mid_low,8,110,cinematic,riff,string_ensemble,triplet,4/4,111,112,train,commu00113
113,aminor,mid_low,4,60,cinematic,pad,acoustic_piano,standard,4/4,21,22,train,commu00114
114,cmajor,high,8,110,cinematic,riff,string_violin,triplet,4/4,107,108,train,commu00115
115,cmajor,mid_low,4,120,cinematic,riff,string_ensemble,standard,4/4,118,126,train,commu00116
116,aminor,mid_high,4,60,cinematic,main_melody,string_ensemble,standard,4/4,32,42,train,commu00117
117,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,21,30,train,commu00118
118,cmajor,mid_high,4,80,newage,main_melody,acoustic_piano,standard,4/4,22,30,train,commu00119
119,cmajor,mid,4,65,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00120
120,aminor,mid,8,110,cinematic,sub_melody,flute,standard,4/4,89,98,train,commu00121
121,cmajor,mid_high,8,120,cinematic,main_melody,acoustic_piano,standard,4/4,53,62,train,commu00122
122,aminor,mid_low,8,150,cinematic,accompaniment,string_ensemble,standard,4/4,113,122,train,commu00123
123,cmajor,mid_low,8,80,newage,accompaniment,acoustic_piano,standard,4/4,23,24,train,commu00124
124,aminor,mid,8,150,cinematic,main_melody,brass_ensemble,standard,4/4,40,108,train,commu00125
125,aminor,mid,8,150,cinematic,sub_melody,brass_ensemble,standard,4/4,83,92,train,commu00126
126,aminor,mid_high,8,150,cinematic,riff,string_violin,standard,4/4,123,127,train,commu00127
127,cmajor,mid_high,8,65,newage,main_melody,acoustic_piano,standard,4/4,33,40,train,commu00128
128,cmajor,mid_low,8,120,cinematic,pad,string_ensemble,standard,4/4,51,52,train,commu00129
129,cmajor,mid_high,4,65,newage,sub_melody,celesta,standard,4/4,24,30,train,commu00130
130,cmajor,mid_high,4,105,cinematic,sub_melody,harp,standard,4/4,101,102,train,commu00131
131,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,23,24,train,commu00132
132,cmajor,mid_low,8,60,newage,accompaniment,acoustic_piano,standard,4/4,22,30,train,commu00133
133,cmajor,mid,8,120,cinematic,sub_melody,horn,standard,4/4,79,82,train,commu00134
134,cmajor,mid,8,120,cinematic,sub_melody,brass_ensemble,standard,4/4,67,68,train,commu00135
135,cmajor,mid_high,8,120,cinematic,riff,acoustic_piano,standard,4/4,59,60,train,commu00136
136,aminor,mid,8,120,cinematic,accompaniment,string_ensemble,standard,4/4,111,122,train,commu00137
137,aminor,mid,8,110,cinematic,sub_melody,flute,standard,4/4,95,103,train,commu00138
138,cmajor,mid,8,135,cinematic,accompaniment,string_cello,standard,4/4,109,110,train,commu00139
139,aminor,mid,8,110,cinematic,accompaniment,string_ensemble,standard,4/4,87,96,train,commu00140
140,aminor,mid_low,4,60,cinematic,pad,string_ensemble,standard,4/4,27,28,train,commu00141
141,cmajor,mid,4,120,cinematic,main_melody,acoustic_piano,standard,4/4,53,62,train,commu00142
142,aminor,mid_high,8,150,cinematic,main_melody,string_ensemble,standard,4/4,63,72,train,commu00143
143,aminor,mid_low,4,60,cinematic,pad,acoustic_piano,standard,4/4,21,22,train,commu00144
144,aminor,mid_high,8,150,cinematic,riff,string_ensemble,standard,4/4,123,127,train,commu00145
145,cmajor,mid_low,8,110,cinematic,riff,acoustic_piano,standard,4/4,61,62,train,commu00146
146,cmajor,mid_high,8,35,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00147
147,aminor,mid,8,120,cinematic,sub_melody,brass_ensemble,standard,4/4,121,122,train,commu00148
148,aminor,mid,8,120,cinematic,sub_melody,brass_ensemble,standard,4/4,109,110,train,commu00149
149,aminor,low,8,120,cinematic,bass,string_ensemble,standard,4/4,75,76,train,commu00150
150,aminor,mid_low,8,150,cinematic,accompaniment,string_ensemble,standard,4/4,111,116,train,commu00151
151,cmajor,mid_high,8,120,cinematic,riff,acoustic_piano,standard,4/4,57,66,train,commu00152
152,cmajor,mid_low,8,65,newage,pad,string_ensemble,standard,4/4,53,60,train,commu00153
153,aminor,mid,8,150,cinematic,main_melody,brass_ensemble,standard,4/4,91,92,train,commu00154
154,aminor,high,8,110,cinematic,riff,string_violin,standard,4/4,101,104,train,commu00155
155,aminor,mid_high,8,110,cinematic,main_melody,string_ensemble,standard,4/4,94,102,train,commu00156
156,cmajor,mid_low,8,75,cinematic,pad,string_ensemble,standard,4/4,73,74,train,commu00157
157,aminor,mid,8,150,cinematic,main_melody,string_ensemble,standard,4/4,127,127,train,commu00158
158,aminor,mid_low,8,120,cinematic,pad,string_ensemble,standard,4/4,61,62,train,commu00159
159,aminor,mid,8,120,cinematic,sub_melody,brass_ensemble,standard,4/4,111,112,train,commu00160
160,aminor,mid_low,8,110,cinematic,riff,acoustic_piano,standard,4/4,51,52,train,commu00161
161,aminor,mid,8,150,cinematic,sub_melody,brass_ensemble,standard,4/4,84,90,train,commu00162
162,cmajor,mid_low,8,45,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00163
163,aminor,mid_high,8,150,cinematic,riff,string_violin,standard,4/4,121,122,train,commu00164
164,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,21,30,train,commu00165
165,aminor,mid,8,120,cinematic,main_melody,string_ensemble,standard,4/4,73,76,train,commu00166
166,cmajor,mid,8,45,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00167
167,cmajor,high,8,110,cinematic,riff,string_violin,triplet,4/4,113,122,train,commu00168
168,aminor,mid,8,150,cinematic,main_melody,brass_ensemble,standard,4/4,83,90,train,commu00169
169,aminor,mid_low,8,120,cinematic,pad,acoustic_piano,standard,4/4,91,92,train,commu00170
170,cmajor,mid,8,35,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00171
171,cmajor,mid,8,45,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00172
172,aminor,mid,8,110,cinematic,accompaniment,acoustic_piano,standard,4/4,83,96,train,commu00173
173,cmajor,mid_high,8,100,newage,main_melody,acoustic_piano,standard,4/4,43,52,train,commu00174
174,cmajor,mid,8,110,cinematic,main_melody,celesta,standard,4/4,91,92,train,commu00175
175,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,22,30,train,commu00176
176,aminor,mid_low,8,110,cinematic,accompaniment,acoustic_piano,standard,4/4,81,96,train,commu00177
177,aminor,mid,8,150,cinematic,main_melody,brass_ensemble,standard,4/4,127,127,train,commu00178
178,cmajor,mid_high,4,120,cinematic,riff,acoustic_piano,standard,4/4,57,66,train,commu00179
179,cmajor,mid_low,8,65,newage,accompaniment,electric_piano,standard,4/4,23,30,train,commu00180
180,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,23,24,train,commu00181
181,aminor,mid_high,8,150,cinematic,riff,string_violin,standard,4/4,123,127,train,commu00182
182,cmajor,mid,8,110,cinematic,main_melody,string_ensemble,standard,4/4,111,112,train,commu00183
183,aminor,mid,8,110,cinematic,main_melody,celesta,triplet,4/4,75,80,train,commu00184
184,cmajor,mid_high,4,80,newage,sub_melody,acoustic_piano,standard,4/4,21,22,train,commu00185
185,cmajor,mid,8,100,newage,main_melody,string_ensemble,standard,4/4,51,52,train,commu00186
186,aminor,mid,8,120,cinematic,accompaniment,string_ensemble,standard,4/4,111,122,train,commu00187
187,cmajor,mid,8,135,cinematic,pad,string_violin-2,standard,4/4,51,58,train,commu00188
188,aminor,mid_low,8,110,cinematic,pad,string_ensemble,standard,4/4,95,96,train,commu00189
189,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,22,30,train,commu00190
190,cmajor,mid_high,8,110,cinematic,main_melody,string_ensemble,standard,4/4,93,102,train,commu00191
191,aminor,mid_low,8,110,cinematic,riff,acoustic_piano,standard,4/4,61,62,train,commu00192
192,cmajor,mid_low,8,110,cinematic,pad,string_ensemble,standard,4/4,95,96,train,commu00193
193,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,23,24,train,commu00194
194,aminor,mid_high,8,150,cinematic,main_melody,brass_ensemble,standard,4/4,40,108,train,commu00195
195,cmajor,mid_low,4,100,newage,accompaniment,acoustic_piano,standard,4/4,45,52,train,commu00196
196,cmajor,mid_low,4,105,cinematic,accompaniment,string_ensemble,standard,4/4,91,96,train,commu00197
197,aminor,mid_low,4,60,cinematic,accompaniment,acoustic_piano,standard,4/4,21,22,train,commu00198
198,cmajor,mid_high,8,110,cinematic,main_melody,string_ensemble,standard,4/4,93,101,train,commu00199
199,cmajor,mid_low,8,65,newage,accompaniment,electric_piano,standard,4/4,23,30,train,commu00200
200,cmajor,mid_low,4,100,newage,accompaniment,acoustic_piano,standard,4/4,51,52,train,commu00201
201,aminor,mid_low,8,120,cinematic,pad,acoustic_piano,standard,4/4,101,102,train,commu00202
202,cmajor,mid_low,8,120,cinematic,riff,string_ensemble,standard,4/4,115,116,train,commu00203
203,cmajor,mid_low,8,80,newage,accompaniment,acoustic_piano,standard,4/4,23,24,train,commu00204
204,cmajor,mid_low,4,105,cinematic,pad,string_ensemble,standard,4/4,99,100,train,commu00205
205,cmajor,mid,8,110,cinematic,sub_melody,choir,standard,4/4,93,102,train,commu00206
206,cmajor,mid_high,8,120,cinematic,riff,acoustic_piano,standard,4/4,57,66,train,commu00207
207,aminor,mid_low,4,60,cinematic,pad,string_ensemble,standard,4/4,81,82,train,commu00208
208,aminor,mid_high,8,150,cinematic,main_melody,brass_ensemble,standard,4/4,63,66,train,commu00209
209,aminor,mid_high,8,150,cinematic,main_melody,string_ensemble,standard,4/4,71,76,train,commu00210
210,aminor,mid_low,8,120,cinematic,pad,string_ensemble,standard,4/4,75,76,train,commu00211
211,cmajor,mid_high,8,60,newage,main_melody,acoustic_piano,standard,4/4,22,30,train,commu00212
212,aminor,mid,8,120,cinematic,main_melody,string_ensemble,standard,4/4,73,76,train,commu00213
213,cmajor,mid_low,8,80,newage,accompaniment,acoustic_piano,standard,4/4,21,30,train,commu00214
214,aminor,mid_high,8,120,cinematic,riff,string_ensemble,standard,4/4,125,126,train,commu00215
215,aminor,mid,8,150,cinematic,main_melody,brass_ensemble,standard,4/4,41,84,train,commu00216
216,aminor,mid_low,8,120,cinematic,pad,acoustic_piano,standard,4/4,101,102,train,commu00217
217,aminor,mid,8,110,cinematic,main_melody,celesta,standard,4/4,73,91,train,commu00218
218,aminor,mid_low,8,150,cinematic,accompaniment,string_ensemble,standard,4/4,115,117,train,commu00219
219,cmajor,mid_low,4,100,newage,accompaniment,string_ensemble,standard,4/4,91,98,train,commu00220
220,cmajor,mid_low,8,45,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00221
221,aminor,mid,8,110,cinematic,accompaniment,acoustic_piano,standard,4/4,81,82,train,commu00222
222,aminor,mid,8,120,cinematic,main_melody,string_ensemble,standard,4/4,91,92,train,commu00223
223,aminor,mid,8,110,cinematic,main_melody,string_ensemble,standard,4/4,75,80,train,commu00224
224,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,23,28,train,commu00225
225,cmajor,mid,8,120,cinematic,riff,string_ensemble,standard,4/4,121,122,train,commu00226
226,aminor,mid,8,150,cinematic,riff,string_ensemble,standard,4/4,123,127,train,commu00227
227,cmajor,mid,8,100,cinematic,sub_melody,string_ensemble,standard,4/4,101,102,train,commu00228
228,cmajor,mid,8,120,cinematic,main_melody,acoustic_piano,standard,4/4,55,56,train,commu00229
229,cmajor,mid_low,8,65,newage,pad,string_ensemble,standard,4/4,53,60,train,commu00230
230,aminor,mid_low,8,120,cinematic,pad,string_ensemble,standard,4/4,91,92,train,commu00231
231,cmajor,mid_low,8,65,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00232
232,aminor,mid_low,8,120,cinematic,pad,string_ensemble,standard,4/4,101,102,train,commu00233
233,cmajor,mid_high,8,45,newage,main_melody,acoustic_piano,standard,4/4,21,22,train,commu00234
234,cmajor,mid,8,110,cinematic,sub_melody,harp,standard,4/4,82,114,train,commu00235
235,cmajor,mid_low,4,120,cinematic,pad,string_ensemble,standard,4/4,46,52,train,commu00236
236,aminor,mid_low,4,60,cinematic,pad,string_ensemble,standard,4/4,37,42,train,commu00237
237,aminor,mid_low,8,120,cinematic,pad,acoustic_piano,standard,4/4,101,102,train,commu00238
238,cmajor,mid_low,4,120,cinematic,riff,string_ensemble,standard,4/4,117,126,train,commu00239
239,cmajor,mid,8,120,cinematic,main_melody,acoustic_piano,standard,4/4,53,56,train,commu00240
240,aminor,mid_low,8,110,cinematic,accompaniment,string_ensemble,standard,4/4,87,96,train,commu00241
241,cmajor,mid_high,8,100,newage,main_melody,acoustic_piano,standard,4/4,43,52,train,commu00242
242,cmajor,mid_low,8,80,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00243
243,cmajor,mid_low,4,105,cinematic,pad,string_ensemble,standard,4/4,99,100,train,commu00244
244,aminor,mid_low,8,120,cinematic,pad,acoustic_piano,standard,4/4,91,92,train,commu00245
245,cmajor,mid_high,4,65,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00246
246,aminor,mid,8,120,cinematic,accompaniment,string_ensemble,standard,4/4,119,120,train,commu00247
247,aminor,mid_high,8,150,cinematic,riff,string_ensemble,standard,4/4,123,127,train,commu00248
248,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,21,30,train,commu00249
249,aminor,mid,8,120,cinematic,main_melody,string_ensemble,standard,4/4,73,76,train,commu00250
250,aminor,mid,8,110,cinematic,main_melody,celesta,standard,4/4,73,74,train,commu00251
251,cmajor,mid,8,110,cinematic,riff,acoustic_piano,triplet,4/4,51,52,train,commu00252
252,aminor,mid_high,8,110,cinematic,main_melody,string_ensemble,standard,4/4,93,94,train,commu00253
253,aminor,mid_low,4,60,cinematic,accompaniment,acoustic_piano,standard,4/4,23,24,train,commu00254
254,cmajor,mid_high,8,120,cinematic,riff,string_violin,standard,4/4,121,122,train,commu00255
255,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,23,30,train,commu00256
256,cmajor,mid_high,8,80,newage,main_melody,acoustic_piano,standard,4/4,22,30,train,commu00257
257,cmajor,mid,8,75,cinematic,accompaniment,acoustic_piano,standard,4/4,63,76,train,commu00258
258,aminor,mid_low,4,60,cinematic,pad,string_ensemble,standard,4/4,81,82,train,commu00259
259,aminor,mid,8,120,cinematic,accompaniment,string_ensemble,standard,4/4,113,122,train,commu00260
260,cmajor,mid_high,8,65,newage,main_melody,acoustic_piano,standard,4/4,33,40,train,commu00261
261,cmajor,mid_low,8,120,cinematic,riff,string_ensemble,standard,4/4,115,121,train,commu00262
262,aminor,mid_low,4,60,cinematic,accompaniment,acoustic_piano,standard,4/4,21,22,train,commu00263
263,aminor,mid_low,4,60,cinematic,accompaniment,acoustic_piano,standard,4/4,21,22,train,commu00264
264,aminor,mid_low,8,110,cinematic,pad,string_ensemble,standard,4/4,95,96,train,commu00265
265,aminor,mid_low,8,150,cinematic,accompaniment,string_ensemble,standard,4/4,113,122,train,commu00266
266,cmajor,mid,8,110,cinematic,main_melody,string_ensemble,standard,4/4,39,86,train,commu00267
267,aminor,low,8,110,cinematic,bass,string_ensemble,standard,4/4,95,96,train,commu00268
268,aminor,mid,8,110,cinematic,sub_melody,flute,standard,4/4,95,103,train,commu00269
269,cmajor,high,8,120,cinematic,riff,acoustic_piano,standard,4/4,59,60,train,commu00270
270,cmajor,mid_low,4,120,cinematic,riff,string_ensemble,standard,4/4,117,126,train,commu00271
271,aminor,mid_high,8,120,cinematic,riff,string_ensemble,standard,4/4,121,127,train,commu00272
272,cmajor,mid_high,8,60,newage,main_melody,acoustic_piano,standard,4/4,21,30,train,commu00273
273,cmajor,mid_low,4,100,newage,accompaniment,string_ensemble,standard,4/4,93,94,train,commu00274
274,aminor,mid_high,8,150,cinematic,riff,string_violin,standard,4/4,123,124,train,commu00275
275,cmajor,low,8,135,cinematic,accompaniment,acoustic_piano,standard,4/4,83,84,train,commu00276
276,aminor,mid_high,8,150,cinematic,main_melody,string_ensemble,standard,4/4,63,72,train,commu00277
277,cmajor,mid_low,8,65,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00278
278,cmajor,mid_high,8,75,cinematic,riff,string_violin,standard,4/4,77,96,train,commu00279
279,aminor,mid,8,150,cinematic,riff,string_ensemble,standard,4/4,121,122,train,commu00280
280,aminor,mid,8,150,cinematic,sub_melody,brass_ensemble,standard,4/4,84,92,train,commu00281
281,aminor,mid,8,150,cinematic,sub_melody,brass_ensemble,standard,4/4,83,92,train,commu00282
282,cmajor,mid_high,4,65,newage,accompaniment,acoustic_piano,standard,4/4,23,30,train,commu00283
283,aminor,mid,8,120,cinematic,sub_melody,brass_ensemble,standard,4/4,121,122,train,commu00284
